Pagador;CPF_CNPJ;Emissao;Vencimento;Nosso_Numero;Valor;Situacao
CONDOMINIO RESIDENCIAL LEONARDO DA ...;05.088.580/0001-34;19/11/2025;19/12/2025;00027131480000000296;459.60;Normal
CONDOMINIO RESIDENCIAL LEONARDO DA ...;05.088.580/0001-34;19/11/2025;19/01/2026;00027131480000000297;459.60;Normal
CONDOMINIO RESIDENCIAL GOLDEN BEACH...;35.934.255/0001-06;20/11/2025;20/12/2025;00027131480000000300;373.20;Normal
CONDOMINIO RESIDENCIAL GOLDEN BEACH...;35.934.255/0001-06;20/11/2025;19/01/2026;00027131480000000301;373.20;Normal
CONDOMINIO RESIDENCIAL GARCIA LORCA;17.877.749/0001-14;24/11/2025;24/12/2025;00027131480000000317;290.40;Normal
CONDOMINIO RESIDENCIAL LEONARDO DA ...;05.088.580/0001-34;24/11/2025;24/12/2025;00027131480000000320;410.30;Normal
BF PB ATIVIDADES ESPORTIVAS SA;40.376.775/0006-95;24/11/2025;23/01/2026;00027131480000000323;453.80;Normal
CONDOMINIO RESIDENCIAL GOLDEN BEACH...;35.934.255/0001-06;26/11/2025;26/12/2025;00027131480000000344;711.43;Normal
CONDOMINIO RESIDENCIAL GOLDEN BEACH...;35.934.255/0001-06;26/11/2025;26/01/2026;00027131480000000345;711.43;Normal
CONSTRUTORA TROPICAL LTDA;04.984.077/0001-02;26/11/2025;26/12/2025;00027131480000000347;289.30;Normal
CONDOMINIO RESIDENCIAL VILA REAL;04.898.035/0001-40;26/11/2025;26/12/2025;00027131480000000348;608.90;Normal
CONDOMINIO RESIDENCIAL BORA BORA;14.609.070/0001-56;03/12/2025;02/01/2026;00027131480000000392;818.00;Normal
IGREJA BATISTA NACIONAL EM MIRAMAR;04.278.915/0001-14;03/12/2025;02/01/2026;00027131480000000395;204.00;Normal
CONDOMINIO RESIDENCIAL BORA BORA;14.609.070/0001-56;04/12/2025;03/01/2026;00027131480000000398;1050.47;Normal
CONDOMINIO EDIFICIO LOURDES MIRANDA;24.098.170/0001-19;05/12/2025;04/01/2026;00027131480000000401;339.50;Normal
CONDOMINIO ALPHAVILLE JOAO PESSOA F...;11.400.317/0001-31;05/12/2025;04/01/2026;00027131480000000403;215.40;Normal
VITRINE EMPREENDIMENTOS LTDA;06.033.835/0002-05;09/12/2025;08/01/2026;00027131480000000412;1997.90;Normal
CONDOMINIO DO EDIFICIO RESIDENCIAL ...;14.829.573/0001-37;12/12/2025;11/01/2026;00027131480000000419;615.80;Normal
GULLIVER MAR RESTAURANTE E EVENTOS ...;12.428.182/0001-85;17/12/2025;16/01/2026;00027131480000000436;2695.50;Normal
BF PB ATIVIDADES ESPORTIVAS SA;40.376.775/0002-61;17/12/2025;16/01/2026;00027131480000000437;96.60;Normal
ATLANTIC CONSTRUCOES E EMPREENDIME...;49.847.649/0001-31;17/12/2025;16/01/2026;00027131480000000447;639.40;Normal
PORTOMAR CONSTRUTORA LTDA;05.372.168/0001-41;23/12/2025;21/01/2026;00027131480000000457;159.60;Normal
BF PB ATIVIDADES ESPORTIVAS SA;40.376.775/0002-61;30/12/2025;29/01/2026;00027131480000000467;167.90;Normal
PORTAL ADMINISTRADORA DE BENS LTDA;04.067.463/0001-21;30/12/2025;29/01/2026;00027131480000000470;1769.10;Normal
BF PB ATIVIDADES ESPORTIVAS SA;40.376.775/0002-61;30/12/2025;29/01/2026;00027131480000000472;214.80;Normal
BF PB ATIVIDADES ESPORTIVAS SA;40.376.775/0002-61;30/12/2025;29/01/2026;00027131480000000473;291.70;Normal
BF PB ATIVIDADES ESPORTIVAS SA;40.376.775/0002-61;30/12/2025;29/01/2026;00027131480000000474;116.80;Normal
BAUTEN CABO BRANCO MAR LTDA;43.188.873/0001-82;30/12/2025;29/01/2026;00027131480000000475;239.20;Normal
